Date,Open,High,Low,Close,Volume,Currency
2017-11-09,250.552993774414,270.177001953125,244.143005371094,261.998992919922,86573400,USD
2017-11-10,261.954986572266,272.757995605469,231.582000732422,237.882995605469,78740400,USD
2017-11-11,238.162002563477,269.717010498047,236.244995117187,253.598999023438,68016096,USD
2017-11-12,253.625,288.670989990234,231.677993774414,288.670989990234,119639000,USD
2017-11-13,298.734008789062,298.734008789062,258.329010009766,265.453002929687,115940000,USD
2017-11-14,265.575988769531,275.893005371094,263.644989013672,271.438995361328,52265100,USD
2017-11-15,271.174011230469,297.919006347656,271.174011230469,290.565002441406,89937200,USD
2017-11-16,290.247985839844,320.946014404297,288.497985839844,294.907989501953,173976000,USD
2017-11-17,293.394012451172,294.759002685547,283.976013183594,291.188995361328,56387900,USD
2017-11-18,290.8330078125,304.7919921875,287.200988769531,298.14599609375,61087000,USD
2017-11-19,298.222991943359,302.593994140625,294.506011962891,299.3330078125,53157100,USD
2017-11-20,299.319000244141,304.264007568359,296.359008789062,302.165985107422,55245200,USD
2017-11-21,301.868011474609,307.825012207031,281.845001220703,290.636993408203,82637904,USD
2017-11-22,290.890991210937,321.278991699219,290.890991210937,319.731994628906,139324992,USD
2017-11-23,319.454986572266,320.5419921875,303.161987304687,311.550994873047,102568000,USD
2017-11-24,310.440002441406,351.5,301.558990478516,346.364013671875,153182000,USD
2017-11-25,348.592987060547,359.859985351562,336.835998535156,344.699005126953,120059000,USD
2017-11-26,344.8330078125,346.795989990234,333.7080078125,340.144012451172,81416400,USD
2017-11-27,340.183990478516,347.511993408203,332.85400390625,347.511993408203,90891200,USD
2017-11-28,347.656005859375,375.415008544922,346.122009277344,371.243011474609,127136000,USD
2017-11-29,371.173004150391,380.575012207031,300.726013183594,306.067993164062,157702000,USD
2017-11-30,309.423004150391,330.778991699219,267.696990966797,308.485992431641,93494200,USD
2017-12-01,306.190002441406,338.111999511719,292.631988525391,335.981994628906,78854200,USD
2017-12-02,335.384002685547,342.725006103516,320.109985351562,329.302001953125,63555100,USD
2017-12-03,329.528991699219,341.835998535156,311.269989013672,322.809997558594,85387904,USD
2017-12-04,323.082000732422,333.385986328125,316.022003173828,330.510009765625,61649200,USD
2017-12-05,330.963012695313,331.045013427734,319.002990722656,323.391998291016,72757600,USD
2017-12-06,322.915008544922,372.851989746094,319.575012207031,338.872009277344,206504000,USD
2017-12-07,339.865997314453,341.796997070312,301.868988037109,308.394012451172,125668000,USD
2017-12-08,308.040008544922,339.988006591797,295.018005371094,328.075012207031,127793000,USD
2017-12-09,327.783996582031,353.35400390625,309.246002197266,316.627990722656,132799000,USD
2017-12-10,317.277008056641,321.546997070313,288.401000976563,291.095001220703,107504000,USD
2017-12-11,290.028991699219,323.355987548828,284.703002929687,319.959991455078,115200000,USD
2017-12-12,320.552001953125,379.115997314453,320.552001953125,373.028991699219,191288000,USD
2017-12-13,372.132995605469,437.243011474609,356.118988037109,414.688995361328,265914000,USD
2017-12-14,416.407989501953,529.768005371094,415.496002197266,510.910003662109,423032992,USD
2017-12-15,510.816986083984,510.816986083984,423.734008789063,467.14599609375,220484000,USD
2017-12-16,469.393005371094,498.334991455078,459.915008544922,469.644989013672,150140000,USD
2017-12-17,471.631011962891,561.994995117188,470.358001708984,537.182983398438,305008000,USD
2017-12-18,538.445007324219,600.68798828125,497.313995361328,596.164001464844,348896992,USD
2017-12-19,595.786987304688,635.549987792969,560.39501953125,613.914978027344,287416992,USD
2017-12-20,613.2919921875,740.68701171875,555.807006835938,675.554016113281,305316000,USD
2017-12-21,674.658020019531,743.958984375,622.922973632813,651.487976074219,279558016,USD
2017-12-22,652.922973632812,656.02197265625,381.475006103516,536.682983398438,351520992,USD
2017-12-23,542.185974121094,637.244018554688,498.769012451172,594.614990234375,231311008,USD
2017-12-24,595.385986328125,595.385986328125,449.033996582031,532.502014160156,142136000,USD
